checkpoint,checkpoint_millions,family,method,display_method,config_label,n_scenarios,n_bootstrap,bootstrap_seed,observed_rrmse,bootstrap_mean_rrmse,bootstrap_median_rrmse,percentile_ci95_low,percentile_ci95_high,bias_correction_z0,acceleration,bca_alpha_low,bca_alpha_high,bca_ci95_low,bca_ci95_high
3000000,3.0,gwas,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.08007613985390408,0.07991792322991677,0.0798949909155651,0.06997714919208442,0.0899601383249826,0.03523795161365633,0.03682203391662669,0.03902568442063591,0.9856886773482761,0.07098040447614978,0.0911485204580162
3000000,3.0,gwas,samc,SAMC,5%,80,1000000,20260729,0.14992790177661633,0.1495963616951243,0.1495409827137992,0.1298565510672491,0.16973067556688398,0.038571531459385945,0.04087210474482024,0.04067395856461685,0.9866157515677146,0.13199487910149724,0.1723338561386648
3000000,3.0,hep,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.06545697572991671,0.06527157409732409,0.06524834239105179,0.05589629917869708,0.0747875240540229,0.0434033591650478,0.04223163548816662,0.0418466423894978,0.9871902790867291,0.05696876492469209,0.07611769381526905
3000000,3.0,hep,samc,SAMC,5%,80,1000000,20260729,0.0733648509175341,0.07309990935222666,0.0731042889729133,0.06069987013581533,0.08546721944221526,0.04053826630814317,0.04267558202854769,0.041497563551231444,0.9870520781122855,0.0621311655046053,0.08714781162891376
3250000,3.25,gwas,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.08063701841506002,0.08048413623482543,0.08046807486335801,0.07078370331682123,0.09024542378525403,0.03381082974066818,0.03388782558649913,0.03800512141843424,0.9850742610868681,0.07170924638343835,0.09130975650089442
3250000,3.25,gwas,samc,SAMC,5%,80,1000000,20260729,0.1395080573818896,0.13902280890713398,0.13905286425421556,0.11671185406065537,0.16121186675942584,0.040312485351437506,0.039638880216326416,0.0406147515969851,0.9865458809760197,0.11919636783035782,0.16403024255568954
3250000,3.25,hep,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.06160422053804979,0.061434727284764346,0.061445686267001726,0.052660080238668805,0.0701385524987232,0.03524045979878155,0.033343064570169716,0.03808033542671396,0.985096209448932,0.05349840131645512,0.07107037578341727
3250000,3.25,hep,samc,SAMC,5%,80,1000000,20260729,0.08019537231389595,0.07998675262630611,0.07994276451978197,0.06874056902611929,0.09145106526944324,0.043250311255652624,0.043241556418628355,0.04210522743333294,0.9873386369391969,0.07005191238706193,0.09311454419655033
3500000,3.5,gwas,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.0799624144129052,0.07979353517753376,0.0798179998516334,0.06954537447208195,0.08990408050262282,0.027423443586926985,0.027638868208564638,0.03537117870081318,0.9834274493080339,0.07034043238995868,0.09076749958112053
3500000,3.5,gwas,samc,SAMC,5%,80,1000000,20260729,0.12521907619346576,0.12479114613202465,0.12469726233262508,0.1050327042385338,0.1450347032017402,0.050991868647118216,0.04914981875994533,0.04511047187209304,0.9887702704028258,0.1076516299428461,0.14835109396115773
3500000,3.5,hep,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.056789108576802416,0.056660592953312855,0.05667946708255388,0.04900259028161773,0.06422335174965346,0.02794000689485432,0.029810727921688276,0.03601971532838,0.983865799366174,0.04963596355604786,0.0649124456543528
3500000,3.5,hep,samc,SAMC,5%,80,1000000,20260729,0.0626226289686981,0.06243651598785423,0.062325988462816825,0.053416461854075434,0.07205481961300937,0.060526889978295424,0.06054416262460739,0.050191011575545355,0.9909271558060411,0.0547774757800006,0.07413207058458073
3750000,3.75,gwas,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.07570551263959588,0.07550266282435478,0.07552263521994143,0.06490606178206629,0.0860070808786288,0.033728063828923044,0.032064967634533544,0.03750073314501789,0.9847515609963872,0.06587195381142952,0.08708613763141368
3750000,3.75,gwas,samc,SAMC,5%,80,1000000,20260729,0.13093009984267337,0.130583027781874,0.13044531970032375,0.11249602220067316,0.1495102680200363,0.05193309983220679,0.051287383804714516,0.04589550670781257,0.9891424098185183,0.11494124336972651,0.15285515197655825
3750000,3.75,hep,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.05269785888944558,0.0525992711487823,0.05263325012644878,0.0461362665239936,0.05885176955336406,0.019961606541028163,0.02036148394495136,0.0324228657889768,0.9813770944078563,0.04652149538171996,0.05923361703521336
3750000,3.75,hep,samc,SAMC,5%,80,1000000,20260729,0.06209336031256884,0.0619579518348568,0.06193816399384171,0.054095782519810724,0.06992517079517219,0.03821281934808991,0.037958280074405056,0.03981093335650967,0.986110191522717,0.054913776323819344,0.0709306290620463
4000000,4.0,gwas,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.0711462226357226,0.07091992288447638,0.07089552296034143,0.05999914335377279,0.08200400768000302,0.04418617756250805,0.04445349082553813,0.04260342208412297,0.987595131171744,0.06130447487343788,0.08361048998895167
