threshold_band,p_half,checkpoint,budget_millions,n_scenarios,n_bootstrap,bootstrap_seed,bootstrap_pairing,observed_rrmse,bca_ci95_low,bca_ci95_high,percentile_ci95_low,percentile_ci95_high,bootstrap_mean_rrmse,bootstrap_median_rrmse,bca_bias_correction_z0,bca_acceleration,bca_alpha_low,bca_alpha_high
non_significant,Lower p-value half,250000,0.25,40,1000000,20280805,same resampled scenario rows at every checkpoint within curve,0.2674542119354578,0.2224593275979875,0.3301604099169001,0.21444418585914027,0.3192669059550334,0.2661324242555114,0.2658645530073731,0.05966305139685846,0.05997280440208474,0.0498588141633282,0.9908038813137126
non_significant,Lower p-value half,500000,0.5,40,1000000,20280805,same resampled scenario rows at every checkpoint within curve,0.15759973122751875,0.12981126416626457,0.19194481750974096,0.12591271014311065,0.18742627829149408,0.15683403930874645,0.1568847729530992,0.045337873217388115,0.04639461639634188,0.04334799154933787,0.9879753538153995
non_significant,Lower p-value half,750000,0.75,40,1000000,20280805,same resampled scenario rows at every checkpoint within curve,0.1063491662187984,0.08787173818727781,0.1279543025474855,0.0856668234332109,0.12555753859253252,0.10587117806784928,0.1059620038158299,0.03818271785671746,0.039395648091503345,0.04020248578360508,0.9863450554266494
non_significant,Lower p-value half,1000000,1.0,40,1000000,20280805,same resampled scenario rows at every checkpoint within curve,0.10072543891699734,0.0805818037934701,0.1392350691314352,0.07509657867405388,0.12772300920411558,0.09980600349891652,0.09930169116182076,0.10251236336782754,0.10456520019694071,0.0731327828749163,0.9968533267246258
non_significant,Lower p-value half,1250000,1.25,40,1000000,20280805,same resampled scenario rows at every checkpoint within curve,0.09212893825261369,0.0752473483476356,0.1174436781078628,0.07176153603165063,0.11222703590267853,0.09154943770226168,0.0914102972457841,0.06948948773428011,0.07159056019952703,0.05528595634263076,0.9927357534482204
non_significant,Lower p-value half,1500000,1.5,40,1000000,20280805,same resampled scenario rows at every checkpoint within curve,0.08931153108063272,0.07404272508286558,0.1091077739828917,0.0717116794336941,0.10617417384339006,0.08888520498795902,0.08886612360325447,0.05039954370078809,0.05133455349235162,0.045639618926182145,0.9890503545939268
non_significant,Lower p-value half,1750000,1.75,40,1000000,20280805,same resampled scenario rows at every checkpoint within curve,0.07796675085784603,0.06482764586683722,0.09413526776873501,0.06304792165174805,0.09206481602228866,0.07761763405269857,0.0776431602290634,0.04386752708963483,0.04512533643177813,0.042739899194104945,0.9876769699235921
non_significant,Lower p-value half,2000000,2.0,40,1000000,20280805,same resampled scenario rows at every checkpoint within curve,0.07412715492531095,0.05982304147564768,0.09392725519259851,0.0571782348884198,0.09039167920963793,0.07365191877490758,0.07361067779683815,0.06020294525194254,0.06327637505542234,0.05095179154651942,0.9912600177081485
non_significant,Lower p-value half,2250000,2.25,40,1000000,20280805,same resampled scenario rows at every checkpoint within curve,0.06988011240661582,0.056104535887574206,0.08772779124925391,0.05379607632076719,0.08494334833370504,0.06943248748959224,0.06944301404920503,0.05471941701031637,0.0549629532876612,0.04746718552127546,0.9898369811048232
non_significant,Lower p-value half,2500000,2.5,40,1000000,20280805,same resampled scenario rows at every checkpoint within curve,0.06548179156052408,0.054232340663867375,0.08149585741933457,0.05207214827551874,0.07854024331588501,0.06512940004166208,0.06504681037063934,0.06366119995305254,0.06303416147060684,0.05153233352159003,0.9914175241213476
non_significant,Lower p-value half,2750000,2.75,40,1000000,20280805,same resampled scenario rows at every checkpoint within curve,0.06526585170151226,0.05362932969604725,0.08131234826260754,0.05154878924018568,0.07855161428096595,0.06489804886275133,0.0648506509945544,0.05981622880969617,0.06009805979789204,0.04992480854467903,0.9908289483983418
non_significant,Lower p-value half,3000000,3.0,40,1000000,20280805,same resampled scenario rows at every checkpoint within curve,0.06244073482905866,0.049952457181506996,0.07987438108472639,0.04756463476472302,0.07665350224955049,0.06199994824419339,0.0619624419416613,0.06376418051524055,0.06445326010080772,0.05198250860145361,0.9915999706155659
non_significant,Lower p-value half,3250000,3.25,40,1000000,20280805,same resampled scenario rows at every checkpoint within curve,0.06122553348066642,0.05033999567867776,0.07515011619468652,0.04866377682303703,0.07312287985254534,0.06090862537035443,0.0609164927197388,0.049147185782460995,0.051160162254963976,0.045369982730444174,0.9889436337490586
non_significant,Lower p-value half,3500000,3.5,40,1000000,20280805,same resampled scenario rows at every checkpoint within curve,0.0583795888402706,0.048202871473305826,0.07094278351011128,0.04679575729094352,0.06930430331109139,0.0581030209444803,0.058122641499028044,0.045104518308936005,0.045816079020049784,0.04314408504521865,0.9878704242662121
non_significant,Lower p-value half,3750000,3.75,40,1000000,20280805,same resampled scenario rows at every checkpoint within curve,0.05240340276735492,0.04305334119784196,0.06424811670442003,0.0416637493802797,0.06256511657515389,0.052133041842403104,0.05214148960300527,0.048700471651355715,0.049403174549707635,0.04478534192746327,0.9886561473572769
non_significant,Lower p-value half,4000000,4.0,40,1000000,20280805,same resampled scenario rows at every checkpoint within curve,0.05272990213319081,0.043693193109003096,0.06661067279219865,0.04178943934680695,0.06368368760510619,0.05243737701839446,0.05233502142632829,0.0702181856449371,0.0728359404539898,0.05581713345852948,0.9929105382374904
non_significant,Lower p-value half,4250000,4.25,40,1000000,20280805,same resampled scenario rows at every checkpoint within curve,0.052841148846094685,0.04406647304633635,0.06367849765367478,0.04288398004362301,0.06228668958133553,0.0526126044150609,0.052620898397959706,0.04373705731696315,0.044525976880212065,0.042548625164210145,0.9875745561731988
non_significant,Lower p-value half,4500000,4.5,40,1000000,20280805,same resampled scenario rows at every checkpoint within curve,0.05452322279124491,0.04480888392795594,0.07214077671439043,0.04232950190158157,0.06734103265937419,0.05415073605826606,0.05391242698251227,0.09293651058793459,0.09424624869546888,0.06749305673596934,0.9958339996497256
non_significant,Lower p-value half,4750000,4.75,40,1000000,20280805,same resampled scenario rows at every checkpoint within curve,0.051322076481366316,0.04178037250365927,0.06997958824593103,0.039177716657964615,0.06437641380805147,0.050918343625965444,0.0506345635265644,0.10268119369059105,0.10494720700557018,0.073301036344969,0.9968826957393977
non_significant,Lower p-value half,5000000,5.0,40,1000000,20280805,same resampled scenario rows at every checkpoint within curve,0.04699274477060768,0.03822620426495858,0.06146043755891245,0.036187455233952476,0.05796031161219702,0.04666628624998115,0.04652503611050648,0.08212162115160693,0.08378310880893862,0.06172649135943251,0.9945471784241697
non_significant,Higher p-value half,250000,0.25,40,1000000,20280806,same resampled scenario rows at every checkpoint within curve,0.28046290724718614,0.23286550257987007,0.34717467310233946,0.2240573762042726,0.3352900945339091,0.27896662409346507,0.27870073522100103,0.06221703098472158,0.06102080762536148,0.0506509277734058,0.9910830781335985
non_significant,Higher p-value half,500000,0.5,40,1000000,20280806,same resampled scenario rows at every checkpoint within curve,0.18397464015997714,0.1508998413977013,0.22423220829949897,0.14640613628723562,0.2191156633109576,0.18303100802724215,0.1831386037968873,0.04479589139380994,0.04470419715364236,0.04277675558808372,0.9876771746329971
non_significant,Higher p-value half,750000,0.75,40,1000000,20280806,same resampled scenario rows at every checkpoint within curve,0.1600315293564431,0.12474437561390733,0.20785304129881751,0.11801628820294843,0.19923809453923969,0.15868521573873837,0.15871556912330603,0.06287505344087438,0.06383874914451575,0.05162681029552816,0.9914759637979393
non_significant,Higher p-value half,1000000,1.0,40,1000000,20280806,same resampled scenario rows at every checkpoint within curve,0.12007617887733807,0.09417208937384099,0.15817643633894846,0.08855957187743058,0.15020811850405305,0.11903924641441889,0.11892532994259358,0.0724773878709256,0.07352997419205684,0.05648584481751636,0.9930922610262218
non_significant,Higher p-value half,1250000,1.25,40,1000000,20280806,same resampled scenario rows at every checkpoint within curve,0.09480395536543233,0.0748970898210975,0.12125360495583551,0.07130558351113835,0.11676851221624727,0.09409463548109541,0.09412495271207284,0.057877757951992875,0.060449423086693536,0.049670205537292074,0.9907646287041152
non_significant,Higher p-value half,1500000,1.5,40,1000000,20280806,same resampled scenario rows at every checkpoint within curve,0.08676096095137524,0.07005142568537931,0.10814343061739136,0.06740132056831039,0.1049340977265343,0.08622800259224458,0.08625248007722562,0.05221924319359425,0.052800726747156815,0.04638694654013756,0.9893774406280674
non_significant,Higher p-value half,1750000,1.75,40,1000000,20280806,same resampled scenario rows at every checkpoint within curve,0.08192254017164208,0.06716704825476189,0.10169781103274746,0.06467996517877951,0.09847444285323712,0.0814672231271283,0.0814323326555821,0.05629600667941565,0.05683657294931515,0.0483056344211991,0.9901895572849836
