scenario,checkpoint,checkpoint_millions,n_chains,exact_p,p_over_p0,empirical_sd,aggregate_obm_sd,empirical_relative_sd,aggregate_obm_relative_sd,obm_over_empirical_sd_ratio,mean_obm_mcse,median_obm_mcse,relative_bias,relative_rmse,beta_used,sigma_t
gwas_additive_score_near_v45_n140,1000000,1.0,30,4.47556073343495e-08,0.89511214668699,5.486588134155499e-09,5.959767064340385e-09,0.12258996047506646,0.13316246654452885,1.086242837737212,5.926180881745949e-09,5.870620891819553e-09,0.008579526745937649,0.12083444628148603,2.49755859375,3.5058028301709783
gwas_additive_score_near_v45_n140,1250000,1.25,30,4.47556073343495e-08,0.89511214668699,4.428130777715822e-09,5.241856063750742e-09,0.09894024551237122,0.11712177257681114,1.1837627041481975,5.222493414183336e-09,5.209196985184858e-09,0.006144068372386791,0.09747110350668678,2.49755859375,3.5058028301709783
gwas_additive_score_near_v45_n140,1500000,1.5,30,4.47556073343495e-08,0.89511214668699,3.8309608231357335e-09,4.7405533040149585e-09,0.08559733743564928,0.10592087978161854,1.2374319453715275,4.7258799192149236e-09,4.789666214636416e-09,0.0035695610568649006,0.0842342911349569,2.49755859375,3.5058028301709783
gwas_additive_score_near_v45_n140,1750000,1.75,30,4.47556073343495e-08,0.89511214668699,3.2388668266008404e-09,4.344141645314215e-09,0.07236784437768184,0.09706362853845417,1.3412535549889681,4.333865001744886e-09,4.4038625803950404e-09,-0.0031877473761253716,0.07122286479689853,2.49755859375,3.5058028301709783
gwas_additive_score_near_v45_n140,2000000,2.0,30,4.47556073343495e-08,0.89511214668699,3.1898225150987647e-09,4.038635024707672e-09,0.0712720194202483,0.09023752028515226,1.266100231467777,4.030806065954663e-09,4.048611605098853e-09,-0.01207117632389143,0.0711061930613271,2.49755859375,3.5058028301709783
gwas_additive_score_near_v45_n140,2250000,2.25,30,4.47556073343495e-08,0.89511214668699,3.0044176419967463e-09,3.790406102868417e-09,0.06712941284769215,0.08469120024563528,1.2616109191627898,3.784249619240729e-09,3.794304291648891e-09,-0.016511778409668998,0.06803517443119679,2.49755859375,3.5058028301709783
gwas_additive_score_near_v45_n140,2500000,2.5,30,4.47556073343495e-08,0.89511214668699,3.1081428566900995e-09,3.6072485706501416e-09,0.06944700433781467,0.08059880728915085,1.160580043123097,3.600423820145957e-09,3.6244986681253198e-09,-0.008994266878818102,0.06886958957189043,2.49755859375,3.5058028301709783
gwas_additive_score_near_v45_n140,2750000,2.75,30,4.47556073343495e-08,0.89511214668699,3.3298114544370524e-09,3.425036980313391e-09,0.07439987194367607,0.0765275500503533,1.0285978732367709,3.418243250002338e-09,3.444427270378156e-09,-0.012619983129215417,0.07423000440910604,2.49755859375,3.5058028301709783
gwas_additive_score_near_v45_n140,3000000,3.0,30,4.47556073343495e-08,0.89511214668699,3.3963100624600845e-09,3.2848031676643293e-09,0.07588568817953341,0.07339422618321335,0.967168222940462,3.277473954781997e-09,3.268719265402007e-09,-0.009069784440508655,0.07515945763017867,2.49755859375,3.5058028301709783
gwas_additive_score_near_v45_n140,3250000,3.25,30,4.47556073343495e-08,0.89511214668699,3.138523749804742e-09,3.1598092655666576e-09,0.0701258219189879,0.07060141630882381,1.0067820151952778,3.15450815057502e-09,3.1449183351483532e-09,-0.005564162183269272,0.06917130742310383,2.49755859375,3.5058028301709783
gwas_additive_score_near_v45_n140,3500000,3.5,30,4.47556073343495e-08,0.89511214668699,2.88529549760013e-09,3.0591421552975443e-09,0.06446779899656715,0.0683521537858717,1.060252635420536,3.053952667114456e-09,3.040277407163955e-09,0.0007145775789851871,0.06338825725897065,2.49755859375,3.5058028301709783
gwas_additive_score_near_v45_n140,3750000,3.75,30,4.47556073343495e-08,0.89511214668699,2.9680036907901727e-09,2.954914026421887e-09,0.06631579521684333,0.06602332539802268,0.9955897412092501,2.9500116701981735e-09,2.9519120498805037e-09,-0.0007175534739446432,0.06520511295178874,2.49755859375,3.5058028301709783
gwas_additive_score_near_v45_n140,4000000,4.0,30,4.47556073343495e-08,0.89511214668699,2.683145245631496e-09,2.864014870503132e-09,0.0599510408961026,0.06399231383695309,1.0674095542036401,2.8604544170532996e-09,2.8694411610159984e-09,0.0023917883590203193,0.05899189531279958,2.49755859375,3.5058028301709783
gwas_additive_score_near_v45_n140,4250000,4.25,30,4.47556073343495e-08,0.89511214668699,2.4451443831992916e-09,2.7783746953164455e-09,0.054633252207543316,0.06207880667466822,1.1362824683919672,2.7751857697728465e-09,2.7735011678412174e-09,-0.0008176047082801841,0.05372120297740552,2.49755859375,3.5058028301709783
gwas_additive_score_near_v45_n140,4500000,4.5,30,4.47556073343495e-08,0.89511214668699,2.3297873680919422e-09,2.7107419958367296e-09,0.05205576478243549,0.06056765078811167,1.1635147623178947,2.7078366993112905e-09,2.7100331183347314e-09,0.006991949008435583,0.05165620236833139,2.49755859375,3.5058028301709783
gwas_additive_score_near_v45_n140,4750000,4.75,30,4.47556073343495e-08,0.89511214668699,2.3408436718914754e-09,2.6303754514444434e-09,0.052302802069114154,0.05877197535928991,1.1236869351976064,2.627846877536311e-09,2.6427523298468773e-09,0.003982039840547236,0.051577646728952334,2.49755859375,3.5058028301709783
gwas_additive_score_near_v45_n140,5000000,5.0,30,4.47556073343495e-08,0.89511214668699,2.2993268917904144e-09,2.564915126343427e-09,0.051375169028835925,0.05730935806952795,1.1155069492299146,2.5628125547652156e-09,2.550832168760391e-09,0.006505087117555153,0.05092881193120186,2.49755859375,3.5058028301709783
gwas_additive_score_near_v48_n140,250000,0.25,30,4.615302870603745e-08,0.923060574120749,1.3980743759376914e-08,1.3409777216529872e-08,0.3029214799406662,0.29055031906878276,0.9591605029979829,1.2956220513951014e-08,1.246275772939394e-08,-0.1082591982950849,0.31689550789593585,2.47216796875,3.110208343561473
gwas_additive_score_near_v48_n140,500000,0.5,30,4.615302870603745e-08,0.923060574120749,8.47398660168319e-09,9.296324341459436e-09,0.18360629495534442,0.20142392822517732,1.0970426056152727,9.183310635996937e-09,9.047489955280673e-09,0.021919742599334935,0.18184619218250272,2.47216796875,3.110208343561473
gwas_additive_score_near_v48_n140,750000,0.75,30,4.615302870603745e-08,0.923060574120749,6.681884130630594e-09,7.668360291594275e-09,0.14477672035760705,0.1661507490751338,1.1476344308997444,7.531545304656823e-09,7.563689040230526e-09,0.022582128732455686,0.14412347022724575,2.47216796875,3.110208343561473
gwas_additive_score_near_v48_n140,1000000,1.0,30,4.615302870603745e-08,0.923060574120749,5.710569346593228e-09,6.377741991264559e-09,0.12373119395837628,0.13818685728917857,1.1168311956616634,6.310981472565651e-09,6.252101628163118e-09,0.009248889570130148,0.12200260941758698,2.47216796875,3.110208343561473
gwas_additive_score_near_v48_n140,1250000,1.25,30,4.615302870603745e-08,0.923060574120749,3.9612868841311665e-09,5.543773721018873e-09,0.08582940264574611,0.12011722472925535,1.3994880661703943,5.499964062228601e-09,5.390679136601548e-09,-0.0027855921960520114,0.08443275235628325,2.47216796875,3.110208343561473
gwas_additive_score_near_v48_n140,1500000,1.5,30,4.615302870603745e-08,0.923060574120749,4.1337349060347415e-09,4.985138905826324e-09,0.08956584263112492,0.10801325602222502,1.205964828211078,4.958462827053944e-09,4.888790976860017e-09,-0.008495210315507262,0.08846924564872259,2.47216796875,3.110208343561473
gwas_additive_score_near_v48_n140,1750000,1.75,30,4.615302870603745e-08,0.923060574120749,3.348564467275214e-09,4.533052672259999e-09,0.07255351514638898,0.09821788080544784,1.3537301481158652,4.518100763190075e-09,4.4093353611560345e-09,-0.025924103342311322,0.0758986469501503,2.47216796875,3.110208343561473
gwas_additive_score_near_v48_n140,2000000,2.0,30,4.615302870603745e-08,0.923060574120749,2.9270585042981003e-09,4.22265868048807e-09,0.06342072419431925,0.09149255853572376,1.4426287258309007,4.210946822261249e-09,4.201140930975363e-09,-0.01947514542416473,0.06532531365950883,2.47216796875,3.110208343561473
gwas_additive_score_near_v48_n140,2250000,2.25,30,4.615302870603745e-08,0.923060574120749,3.047562795692426e-09,3.935182679235107e-09,0.06603169675176189,0.08526380152209449,1.2912556501862031,3.924489580770679e-09,3.907029167635669e-09,-0.024030682439432183,0.06922657853183453,2.47216796875,3.110208343561473
gwas_additive_score_near_v48_n140,2500000,2.5,30,4.615302870603745e-08,0.923060574120749,3.5377959045795315e-09,3.733084200590796e-09,0.07665360223947208,0.08088492359554418,1.0552005546047674,3.722554938747617e-09,3.747655379875714e-09,-0.021662602785697316,0.07841673251202111,2.47216796875,3.110208343561473
gwas_additive_score_near_v48_n140,2750000,2.75,30,4.615302870603745e-08,0.923060574120749,3.2386641641083348e-09,3.541891514630722e-09,0.07017229973652137,0.07674234202895105,1.0936272904992208,3.5340528709613724e-09,3.527625150328153e-09,-0.019801084932870805,0.07177810408813555,2.47216796875,3.110208343561473
gwas_additive_score_near_v48_n140,3000000,3.0,30,4.615302870603745e-08,0.923060574120749,2.9457336972042915e-09,3.4100841638558224e-09,0.06382536054061712,0.07388646551401158,1.157634910138765,3.4027150847064203e-09,3.4306051081437463e-09,-0.016364101468432368,0.06485114681641539,2.47216796875,3.110208343561473
gwas_additive_score_near_v48_n140,3250000,3.25,30,4.615302870603745e-08,0.923060574120749,2.370352958125925e-09,3.2312228544807385e-09,0.051358557056426724,0.07001106850563092,1.3631821553847594,3.2272693005684653e-09,3.1981611801549147e-09,-0.014699127562844971,0.05259127641155346,2.47216796875,3.110208343561473
gwas_additive_score_near_v48_n140,3500000,3.5,30,4.615302870603745e-08,0.923060574120749,2.4287247731855104e-09,3.122243106622899e-09,0.05262330211641777,0.06764979881405847,1.285548342527001,3.1175579967541225e-09,3.1147141019569703e-09,-0.015020579618955199,0.05387506541561961,2.47216796875,3.110208343561473
gwas_additive_score_near_v48_n140,3750000,3.75,30,4.615302870603745e-08,0.923060574120749,2.072948022578074e-09,2.9964314842646406e-09,0.0449146693228153,0.06492383204902577,1.4454928206728759,2.99379839629228e-09,2.9723347986668447e-09,-0.019975246476798714,0.04846745033016946,2.47216796875,3.110208343561473
gwas_additive_score_near_v48_n140,4000000,4.0,30,4.615302870603745e-08,0.923060574120749,1.9169109831110664e-09,2.903168341710463e-09,0.041533806921327965,0.0629030948369958,1.5145034731861895,2.9011031079708873e-09,2.8940818340748126e-09,-0.01761963130837496,0.044474786350342466,2.47216796875,3.110208343561473
gwas_additive_score_near_v48_n140,4250000,4.25,30,4.615302870603745e-08,0.923060574120749,1.778671655290494e-09,2.8107805903853516e-09,0.03853856843544093,0.06090132477086304,1.5802695129395834,2.8086924719188946e-09,2.8167734273155828e-09,-0.016242065766250313,0.041225217794127654,2.47216796875,3.110208343561473
gwas_additive_score_near_v48_n140,4500000,4.5,30,4.615302870603745e-08,0.923060574120749,1.7518626895896158e-09,2.728591397801684e-09,0.03795769722389743,0.059120527391190406,1.557537251073526,2.7267903751991726e-09,2.7237248417206815e-09,-0.011998605792522987,0.03920111087142897,2.47216796875,3.110208343561473
gwas_additive_score_near_v48_n140,4750000,4.75,30,4.615302870603745e-08,0.923060574120749,1.717083620220296e-09,2.649500390565563e-09,0.037204137374318796,0.05740685854965293,1.5430235076295475,2.64771609618042e-09,2.654054903476573e-09,-0.015409581020237484,0.03969212470664105,2.47216796875,3.110208343561473
gwas_additive_score_near_v48_n140,5000000,5.0,30,4.615302870603745e-08,0.923060574120749,1.7273060363813434e-09,2.5783179054867903e-09,0.03742562698069234,0.055864544056444795,1.492681581133296,2.57628791219632e-09,2.5798507826102905e-09,-0.014124217277387108,0.03941423368234933,2.47216796875,3.110208343561473
gwas_additive_score_near_v52_n140,250000,0.25,30,4.4779212913685263e-08,0.8955842582737054,1.1607628026455963e-08,1.395169123636671e-08,0.2592191168886866,0.31156624533038285,1.2019416201628952,1.362291307285871e-08,1.3646523527572077e-08,0.02340152845650878,0.2559342957530955,2.54638671875,3.736227933878197
